202010001,Eduardo,Rojas,12345678,88,987654321,1
202010002,Aron,Valderra,123456789123,33,954202361,1
202010003,Merly,Nino,70236559,25,95412384,0
202010004,Ken,Nautino,72596415,30,987632159,0
202010005,GianMarco,Baicon,700123658,24,963753951,1
202010006,Gisella,Vargas,753159648541,35,951852463,0
202010007,Katty,Fasando,854362159,32,941632785,0
202010008,Anthony,Guivin,65214587,28,632147528,0
202010009,Zila,Tello,75296484,26,914753921,0
202010010,Stefany,Rojas,86942785,27,968241697,0
202010011,Korina,Rivero,45214563,33,963546245,2
